0,1,2,3,4,5,6,7,8
5326,658,2510,2180,340,2987,2445,474,3080
5364,624,2553,2067,366,3085,2415,484,3042
5280,642,2606,2111,372,3035,2494,464,2996
5365,684,2618,2045,372,2947,2476,501,2992
5413,638,2526,2109,369,3005,2490,483,2967
5349,624,2548,2065,368,3050,2440,517,3039
5352,624,2552,2204,367,2978,2399,483,3041
5320,670,2528,2046,366,3058,2523,467,3022
5379,626,2635,2085,352,2964,2411,480,3068
5287,617,2555,2124,358,3086,2499,487,2987
5330,596,2613,2128,382,3105,2438,498,2910
5437,654,2493,2086,388,3009,2494,499,2940
5429,675,2586,2084,370,3027,2404,461,2964
5408,603,2572,2082,368,2983,2453,437,3094
5364,648,2467,2091,361,3086,2406,506,3071
5364,654,2523,2043,348,3108,2412,488,3060
5293,623,2465,2162,377,3088,2439,478,3075
5248,676,2620,2066,372,3023,2451,480,3064
5278,618,2561,2102,362,3104,2435,494,3046
5329,624,2595,2132,371,3040,2533,439,2937
5425,636,2570,2099,374,2906,2485,436,3069
5471,591,2598,2080,354,3079,2387,484,2956
5495,611,2477,2135,370,2949,2470,483,3010
5439,652,2497,2110,376,2913,2490,479,3044
5326,639,2548,2083,373,3130,2442,499,2960
5381,640,2496,2048,364,3060,2429,501,3081
5400,681,2566,2161,376,2962,2413,475,2966
5298,650,2577,2149,362,2950,2482,499,3033
5277,627,2496,2179,354,3077,2466,501,3023
5410,656,2529,2082,366,3043,2491,440,2983
5395,629,2602,2073,366,3051,2450,491,2943
5350,670,2578,2143,318,3068,2420,466,2987
5345,652,2531,2025,351,3098,2468,528,3002
5425,696,2503,2093,389,2998,2475,496,2925
5394,701,2526,2128,332,2990,2505,467,2957
5332,661,2621,2116,372,2991,2374,516,3017
5548,663,2472,2117,371,2975,2416,478,2960
5349,642,2557,2162,350,2955,2456,491,3038
5420,639,2566,2146,356,3030,2370,507,2966
5290,595,2563,2161,380,3013,2462,471,3065
5342,643,2461,2144,375,3043,2475,490,3027
5316,640,2533,2150,351,2995,2420,475,3120
5425,607,2495,2171,347,3027,2406,534,2988
5406,658,2624,2063,353,3033,2422,493,2948
5266,631,2641,2092,401,3042,2477,509,2941
5295,660,2617,2098,378,2988,2451,503,3010
5423,638,2501,2095,385,3089,2441,470,2958
5495,648,2535,2030,370,3021,2416,475,3010
5406,649,2515,2095,360,3008,2437,492,3038
5456,578,2538,2085,367,2914,2452,517,3093
5381,649,2614,2062,351,2995,2503,541,2904
5456,631,2569,2091,354,2956,2456,492,2995
5270,628,2550,2030,385,3053,2491,477,3116
5299,650,2577,2160,349,2982,2502,480,3001
5370,635,2541,2117,382,3013,2492,486,2964
5373,646,2514,2106,374,3096,2447,496,2948
5301,658,2515,2078,351,3109,2524,440,3024
5360,628,2504,2179,359,2990,2435,497,3048
5241,648,2573,2106,359,3006,2538,473,3056
5420,649,2580,2062,351,3094,2497,434,2913
5246,646,2574,2118,370,3021,2505,499,3021
5361,620,2596,2122,366,3055,2455,464,2961
5349,687,2501,2070,373,3055,2469,477,3019
5253,641,2554,2132,381,3063,2471,501,3004
5309,637,2568,2097,355,3015,2525,464,3030
5383,654,2682,2057,395,2906,2454,484,2985
5371,680,2631,2062,377,2955,2446,446,3032
5297,666,2625,2079,346,3013,2452,485,3037
5423,625,2570,2134,372,2993,2343,444,3096
5327,644,2555,2050,395,3042,2495,508,2984
5409,651,2565,2083,366,2988,2487,450,3001
5351,653,2609,2079,391,3069,2429,481,2938
5402,604,2526,2176,370,3024,2474,465,2959
5356,644,2571,2103,343,3050,2439,500,2994
5212,604,2633,2142,371,2999,2487,499,3053
5404,651,2586,2045,393,2981,2502,444,2994
5401,631,2447,2139,387,3063,2441,495,2996
5294,644,2567,2095,350,3139,2471,465,2975
5260,611,2592,2122,394,2947,2473,509,3092
5343,646,2494,2102,376,3062,2519,468,2990
5384,671,2459,2119,363,2953,2532,496,3023
5317,636,2542,2101,348,3019,2474,536,3027
5399,648,2588,2128,362,3038,2336,490,3011
5272,633,2637,2083,383,3008,2435,490,3059
5418,673,2571,2088,359,3019,2355,502,3015
5349,625,2515,2135,391,3050,2412,483,3040
5419,643,2588,2114,387,3011,2447,486,2905
5550,630,2562,2054,345,2950,2447,470,2992
5368,660,2537,2116,378,2996,2479,440,3026
5427,669,2621,2131,365,2831,2448,475,3033
5390,695,2547,2127,358,2938,2471,488,2986
5353,654,2470,2118,373,3076,2475,478,3003
5301,615,2496,2133,365,2999,2481,520,3090
5321,638,2562,2096,400,2949,2522,494,3018
5328,681,2495,2115,363,3025,2494,435,3064
5410,613,2560,2077,345,2924,2507,486,3078
5394,624,2565,2094,387,3020,2454,482,2980
5390,613,2625,2183,430,2944,2396,421,2998
5320,699,2551,2141,377,3062,2361,472,3017
5429,607,2613,2089,377,2946,2459,476,3004
