0,1,2,3,4,5,6,7,8
142,19,69,53,6,74,69,5,63
132,9,64,51,8,76,62,12,86
123,15,69,68,5,68,63,13,76
138,14,61,47,13,79,57,9,82
128,15,62,53,7,77,73,8,77
117,14,69,53,10,73,71,13,80
130,16,62,52,10,83,60,14,73
136,21,66,51,7,77,57,12,73
125,17,66,50,12,87,56,9,78
127,16,64,50,13,78,56,18,78
131,17,76,49,10,70,57,11,79
141,15,61,50,10,76,60,18,69
112,18,66,53,9,89,60,15,78
139,15,59,57,10,68,70,9,73
136,20,68,47,15,78,56,11,69
123,16,67,45,8,81,66,22,72
129,22,55,55,8,75,78,14,64
153,17,75,50,7,61,68,14,55
145,12,73,50,11,73,59,11,66
120,19,69,49,6,89,78,10,60
139,13,61,54,13,74,51,10,85
127,22,68,48,14,80,61,14,66
151,17,54,45,11,85,59,8,70
136,17,58,42,13,75,66,10,83
140,14,68,55,6,69,67,14,67
124,21,69,59,8,84,56,7,72
133,15,67,42,9,85,66,15,68
141,17,68,53,7,77,55,7,75
152,18,58,47,7,49,67,14,88
150,16,57,43,12,70,58,12,82
134,16,57,42,7,87,67,10,80
144,20,68,46,9,76,42,13,82
127,16,79,53,6,81,55,14,69
145,15,61,45,6,80,55,12,81
123,11,69,56,6,74,64,12,85
117,11,73,46,7,75,76,11,84
121,21,52,50,11,81,78,4,82
122,13,67,55,13,72,75,14,69
146,17,66,45,7,89,50,15,65
149,10,67,50,12,76,55,10,71
147,17,54,52,11,79,55,10,75
147,27,76,41,11,73,68,11,46
120,14,73,45,11,76,63,14,84
131,13,66,52,15,82,56,11,74
128,19,71,61,9,60,67,13,72
126,16,68,44,10,69,71,10,86
150,14,66,36,8,70,52,14,90
145,12,73,40,5,66,54,7,98
129,17,65,53,14,82,63,5,72
141,12,65,59,16,78,52,3,74
142,18,51,61,10,64,55,16,83
122,15,70,60,8,81,61,11,72
135,12,75,49,12,66,62,13,76
122,15,65,50,15,76,64,10,83
113,19,68,48,11,87,60,7,87
117,19,69,63,10,83,52,15,72
143,18,63,44,11,64,66,10,81
136,14,56,55,7,76,59,10,87
112,16,88,39,6,79,66,16,78
142,19,46,60,9,84,53,8,79
141,12,64,48,13,61,58,16,87
124,11,59,52,12,82,56,16,88
153,12,61,42,12,76,65,13,66
134,9,54,61,11,89,56,12,74
124,13,69,53,10,71,66,7,87
144,13,56,60,7,81,59,16,64
156,13,62,39,1,76,60,15,78
132,17,62,47,13,76,67,13,73
144,11,80,52,7,66,57,15,68
124,13,66,76,11,65,52,11,82
152,17,71,56,9,68,60,8,59
140,12,58,46,9,85,63,15,72
145,17,70,43,8,71,59,14,73
137,7,68,58,11,77,54,9,79
123,19,60,56,7,87,59,12,77
133,25,62,63,13,80,62,12,50
152,14,71,52,8,69,54,12,68
128,13,58,63,9,76,70,8,75
135,18,58,61,17,69,61,14,67
127,20,59,59,13,71,50,14,87
132,17,77,43,6,79,58,17,71
129,20,67,44,13,69,64,12,82
145,11,65,63,12,70,60,5,69
146,14,58,54,7,64,60,7,90
145,18,54,61,11,64,65,8,74
146,11,68,45,7,71,65,12,75
134,17,72,44,12,65,59,15,82
121,15,63,51,9,82,61,11,87
121,16,62,60,14,91,53,13,70
121,16,67,56,9,81,64,13,73
140,18,71,46,14,49,71,8,83
151,21,58,51,5,69,67,9,69
134,9,80,41,8,81,63,8,76
147,17,60,47,3,66,65,19,76
123,14,73,48,13,72,56,11,90
127,18,55,59,11,84,66,15,65
143,17,72,63,6,65,54,11,69
134,18,70,49,7,76,62,10,74
146,11,58,52,12,76,54,13,78
138,20,52,50,10,73,76,8,73
119,27,65,69,6,71,61,14,68
138,13,58,64,7,67,57,12,84
131,16,71,48,4,74,58,15,83
140,20,65,52,6,68,66,9,74
137,12,54,65,9,77,56,19,71
134,14,68,51,9,75,67,11,71
140,22,59,37,7,85,59,10,81
122,11,71,52,11,73,57,11,92
141,20,68,46,9,84,64,11,57
139,16,68,42,7,71,55,18,84
149,21,60,50,5,75,68,9,63
129,19,64,49,7,77,69,15,71
127,23,68,54,13,67,59,15,74
136,15,53,66,13,66,59,13,79
142,14,66,47,9,63,70,7,82
132,22,86,36,13,61,66,9,75
135,18,70,43,7,75,59,17,76
141,13,55,46,15,76,62,12,80
134,17,66,54,6,73,53,16,81
136,19,63,44,10,66,61,7,94
134,15,69,51,12,80,45,17,77
131,15,59,49,6,80,72,11,77
137,11,67,43,9,77,70,17,69
142,18,61,48,8,75,61,16,71
139,21,70,40,6,75,45,16,88
149,20,49,55,7,54,84,14,68
140,16,55,51,13,87,58,15,65
134,13,69,51,10,73,60,6,84
127,21,59,61,8,70,62,15,77
134,12,52,58,7,88,57,9,83
139,22,58,54,7,67,67,13,73
127,17,60,53,11,96,61,7,68
161,6,51,61,5,68,75,6,67
135,11,70,54,6,80,61,12,71
144,14,62,59,4,82,44,15,76
149,10,66,52,9,69,68,12,65
136,15,59,61,9,75,64,13,68
132,16,66,46,15,76,63,7,79
152,15,65,39,8,75,55,13,78
131,13,59,48,5,94,58,16,76
129,15,52,56,11,79,62,9,87
139,12,53,53,13,90,62,5,73
133,14,64,43,9,86,63,14,74
142,14,71,63,11,77,53,12,57
127,12,64,53,10,77,80,10,67
140,18,64,46,6,76,55,14,81
113,17,61,52,16,71,71,18,81
142,7,66,50,5,65,54,15,96
