0,1,2,3,4,5,6,7,8
139,35,150,194,94,141,50,54,143
130,47,159,187,118,123,58,45,133
140,37,188,182,84,125,50,44,150
144,45,148,200,85,148,57,36,137
133,34,167,212,93,137,59,42,123
139,38,177,193,84,131,50,45,143
105,43,197,175,81,148,53,45,153
131,35,164,191,93,147,60,36,143
117,40,172,191,84,147,70,39,140
148,33,159,207,90,131,68,39,125
142,47,157,193,75,135,49,59,143
139,35,152,206,87,136,53,39,153
140,42,165,192,101,122,56,51,131
143,51,170,207,81,127,56,56,109
116,32,164,232,89,125,66,37,139
118,36,167,196,89,146,56,44,148
112,40,163,200,95,148,63,51,128
127,39,161,213,87,138,62,43,130
121,42,164,187,78,146,65,49,148
134,37,165,193,86,142,53,51,139
145,43,151,194,99,131,56,40,141
120,39,177,176,106,137,47,58,140
136,34,159,217,83,120,56,41,154
145,40,141,181,98,129,68,44,154
153,40,159,184,83,129,53,56,143
134,39,176,202,69,146,44,34,156
125,46,151,189,115,138,42,35,159
132,45,160,205,80,133,66,39,140
136,29,159,211,76,133,58,44,154
150,37,179,199,73,135,51,35,141
127,36,157,209,80,144,61,44,142
130,46,158,202,93,123,51,53,144
144,39,164,205,85,117,67,49,130
116,51,177,204,80,131,49,35,157
141,49,155,198,91,135,53,37,141
130,34,152,221,89,137,59,44,134
125,33,167,207,83,130,71,42,142
125,38,155,215,92,131,46,48,150
124,30,167,203,85,131,55,42,163
133,23,170,205,88,124,68,42,147
138,40,149,206,97,109,64,43,154
124,49,165,201,82,141,53,48,137
142,42,133,195,106,132,64,37,149
121,37,177,169,94,126,57,53,166
114,47,152,201,96,133,57,51,149
118,51,174,214,86,132,48,37,140
119,30,178,176,90,151,64,54,138
141,48,166,196,82,131,60,40,136
130,31,145,210,111,131,57,54,131
130,35,178,186,80,136,65,40,150
114,50,158,221,82,140,58,44,133
121,28,165,195,77,135,66,54,159
118,23,156,209,103,126,71,44,150
111,37,176,199,104,126,56,55,136
138,34,164,199,99,120,57,48,141
119,46,171,214,65,135,54,51,145
120,40,162,202,95,127,65,47,142
122,42,169,212,84,148,53,39,131
133,48,171,198,70,145,57,35,143
127,36,170,208,83,129,55,56,136
128,44,145,221,86,142,50,44,140
141,48,165,184,94,118,46,51,153
113,40,165,197,81,128,52,51,173
156,34,148,202,80,131,61,52,136
137,37,139,194,86,141,67,43,156
125,34,162,208,90,140,54,48,139
141,50,157,184,86,141,52,40,149
128,48,168,187,93,125,50,52,149
115,50,176,204,102,119,41,43,150
111,34,169,197,88,126,57,58,160
150,42,147,195,81,146,54,45,140
127,35,174,200,75,122,65,60,142
133,43,146,206,92,146,63,46,125
128,36,160,242,89,105,55,44,141
139,38,159,192,87,142,60,51,132
139,32,162,211,97,110,57,53,139
148,45,155,201,86,113,62,46,144
127,31,152,204,105,137,58,50,136
118,49,172,202,82,134,69,52,122
122,31,180,182,103,131,59,54,138
145,34,154,226,88,124,53,38,138
118,40,182,202,84,140,65,28,141
125,33,175,191,81,130,72,51,142
125,25,160,208,91,131,62,46,152
132,33,145,208,86,148,44,49,155
132,47,180,192,94,128,51,54,122
129,43,163,197,88,149,56,42,133
116,37,174,204,82,143,66,50,128
125,31,168,193,91,147,50,43,152
114,40,154,216,76,146,63,53,138
122,41,163,228,83,128,65,46,124
133,45,174,196,99,126,54,44,129
133,35,154,215,84,119,44,53,163
131,31,162,215,96,113,63,50,139
130,32,162,219,65,141,60,32,159
139,45,144,197,93,128,52,47,155
132,38,169,196,92,125,65,49,134
136,31,160,196,103,135,53,47,139
128,45,147,208,71,145,72,37,147
120,41,181,204,87,132,51,37,147
119,41,166,206,85,143,57,43,140
143,37,159,196,80,138,57,48,142
121,39,170,212,88,141,49,51,129
145,44,161,177,86,122,69,44,152
142,47,169,194,76,129,71,36,136
142,31,169,212,95,130,45,33,143
121,45,169,220,79,138,55,41,132
121,35,142,194,107,147,60,46,148
128,36,152,209,79,145,52,56,143
116,39,173,193,80,133,62,64,140
117,34,161,217,86,136,54,41,154
132,30,165,189,99,126,64,45,150
132,34,170,195,94,134,69,43,129
130,41,129,218,86,134,59,53,150
118,34,169,192,101,150,49,45,142
151,34,160,184,96,142,60,29,144
124,38,157,197,74,145,63,45,157
142,39,153,189,116,124,52,42,143
144,34,150,198,92,141,56,51,134
117,40,146,214,91,121,57,56,158
120,37,161,193,91,125,59,49,165
134,45,128,201,92,146,66,42,146
125,27,154,193,92,161,54,43,151
141,37,183,183,99,115,55,47,140
118,37,162,219,79,141,65,49,130
143,41,160,203,77,142,55,48,131
115,41,150,198,109,131,63,49,144
127,28,163,198,91,109,61,53,170
129,37,163,191,92,127,66,46,149
120,37,168,212,74,123,79,46,141
136,43,166,203,103,118,62,34,135
118,41,183,178,94,143,60,34,149
125,48,147,227,92,131,56,40,134
132,31,156,224,79,124,67,54,133
135,44,139,209,77,149,52,50,145
138,36,153,226,98,124,48,35,142
112,38,170,197,82,137,71,40,153
123,37,172,166,77,143,76,55,151
126,41,150,217,98,125,58,44,141
120,33,159,227,85,128,61,42,145
135,32,155,214,99,120,50,51,144
135,38,154,216,73,141,64,42,137
132,37,171,197,91,125,56,47,144
129,34,169,168,92,155,63,46,144
123,43,162,191,89,139,59,46,148
152,35,177,207,78,132,62,43,114
134,30,137,214,100,139,62,51,133
140,30,149,211,92,115,55,56,152
142,26,153,200,83,134,74,41,147
118,36,179,221,79,106,56,46,159
128,31,164,211,81,134,66,44,141
111,43,169,205,87,148,60,36,141
120,38,164,183,82,152,61,35,165
116,39,154,207,94,141,62,43,144
129,39,151,194,86,130,71,43,157
134,36,144,191,99,153,59,41,143
119,38,156,214,85,134,63,36,155
136,35,156,202,97,138,56,36,144
135,46,162,193,88,133,64,46,133
150,35,146,213,92,126,60,43,135
141,42,142,230,75,118,57,53,142
144,36,147,208,93,139,53,50,130
135,38,157,205,84,129,67,36,149
129,39,166,198,100,132,53,44,139
124,40,156,179,104,147,65,38,147
130,40,168,205,100,126,48,47,136
136,41,167,211,106,121,42,51,125
138,46,149,210,86,124,61,56,130
143,36,160,222,93,119,57,45,125
115,40,167,210,89,123,51,58,147
122,40,150,209,102,143,57,49,128
127,39,161,206,91,122,72,40,142
128,36,152,223,88,126,67,48,132
136,34,179,179,114,137,41,47,133
144,35,161,190,97,125,49,63,136
140,40,153,179,110,141,56,48,133
115,45,166,190,106,132,58,47,141
145,34,160,206,74,132,67,45,137
114,36,166,219,94,139,62,37,133
135,40,175,182,104,152,50,42,120
106,50,157,188,102,135,62,47,153
134,43,151,208,87,126,59,52,140
146,33,162,197,85,132,63,37,145
137,28,160,190,88,126,74,43,154
152,44,159,200,89,137,46,44,129
143,33,142,210,92,133,52,40,155
117,47,155,214,80,143,62,46,136
133,44,146,205,97,123,61,34,157
101,37,184,220,81,126,61,45,145
141,35,169,189,87,137,54,51,137
114,37,169,191,106,144,58,45,136
123,44,155,197,101,134,60,47,139
121,44,158,205,84,139,56,37,156
143,28,164,198,81,137,54,47,148
136,42,153,204,90,117,63,44,151
124,42,177,178,93,144,59,42,141
135,35,143,210,96,148,74,40,119
